BonePb,dieldrin,dde,tde,pcb105,pcb118,pcb128,pcb138,pcb153,pcb156,pcb170,pcb180,pcb187,hcbenz,Age,Sex,Year,weight,length,xcoord,ycoord,region,country
5.025,139.6,164.3,19.7,6.8,21.3,17,69.9,77.2,14,28.2,51.8,21.6,6.2,Subadult,Male,1998,4.5,970,318200,126300,South West Region,England
4.405,132.2,96.8,35.6,5.4,22.8,16,103.2,154.9,15.8,67.2,102.5,59.2,10.6,Adult,Male,1999,7.54,1040,333200,116800,South West Region,England
5.097,90.4,76.8,11.2,4.3,13.1,3.9,26,33.2,6.2,15.3,25.4,18.6,9.1,Subadult,Male,1999,5,950,349500,485600,North West Region,England
5.239,97.4,668.8,53.4,25.2,127.8,46.8,480.9,413.8,62.6,135,248.6,72.5,61.9,Subadult,Male,1999,1.2,575,351300,490100,North West Region,England
5.574,50.6,235.8,30.1,2.3,14.6,7.1,42.4,52.8,10,26.4,48,51.7,13.1,Adult,Male,1998,8.5,1110,342800,498800,North West Region,England
5.233,197.43,45.8,,7.93,28.09,5.35,58.83,55.14,4.88,10.42,22.69,10.97,9.69,Adult,Male,1999,5.36,1130,386200,113300,South West Region,England
4.189,47.575,78.13,6.58,0.5,6.975,2.23,29.5,18.525,1.45,5.675,10.825,12.65,5.2,Adult,Female,1999,4.4,,289300,112600,South West Region,England
5.147,58.9,142.13,0.5,120.38,1056.675,229.7,2530.25,1705.225,641.77,520.025,812.625,251.975,17.63,Subadult,Male,1999,3.6,1065,288700,59200,South West Region,England
5.288,99.525,78.35,8.03,3.53,9.825,3.68,19.35,27.825,3.33,9.6,19.45,41.375,13.38,Subadult,Female,1999,6.52,1075,367000,81600,South West Region,England
4.749,49.175,14.98,0.5,0.5,4.6,0.5,14.725,15.475,1.2,6.125,11.825,10.6,4.88,Adult,Male,1999,4.92,960,463800,236000,Anglian Region,England
5.015,43.55,17.88,0.5,2.55,10.3,3.2,23.825,25.875,2.9,6.675,13.875,12.55,8.93,Adult,Male,1999,4.1,915,417100,199900,Thames Region,England
4.253,63.5,703.9,14.28,6.13,16.925,6.45,72.325,90.475,5.33,25.675,52.7,43,5.6,Adult,Female,1997,6.76,1070,613300,238500,Anglian Region,England
3.529,161.825,2250.75,46.58,56.15,278.425,75.75,630.725,700.3,96.48,172.3,418.425,178.45,24.4,Adult,Male,1999,1.86,690,607962,232934,Anglian Region,England
5.442,51.5,61.58,6.25,,10.9,6,61.775,55.3,4.33,20.25,40.125,37.95,6.28,Subadult,Female,1999,5.42,980,262600,222400,EA Wales,Wales
5.249,54.575,391.75,3.6,10.75,31.15,8.63,50.8,73.625,7.53,20,43.05,45.75,7.9,Subadult,Male,1999,5.84,1040,609800,232600,Anglian Region,England
5.386,420.2,780.08,53.7,8.13,22.525,6.73,41.575,47.5,7.58,21.4,41.675,58.1,6.53,Adult,Male,1999,6.5,1105,346600,544000,North West Region,England
4.822,62.45,48.23,0.5,2.03,8.45,2.75,16.4,36.925,2.6,18.175,30.875,35.175,10.85,Adult,Female,1999,4.64,935,193021,66624,South West Region,England
3.945,155.8,85.23,5.23,0.5,11.1,5.98,61.45,72.225,6.8,24.5,47.1,35.525,9.3,Subadult,Female,1999,5.2,,178939,29606,South West Region,England
4.003,20.825,11.03,0.5,6.53,19,8.53,44.6,76.075,6.8,40.475,69.15,51.525,5.3,Adult,Male,1999,5.9,1070,242350,201410,EA Wales,Wales
4.602,46.675,85.85,0.5,1.78,18.7,4.95,66.225,122.05,5.58,22.375,60.45,22.5,5.4,Adult,Male,1999,4.58,,265630,216810,EA Wales,Wales
4.47,100.175,102.55,0.5,6.55,18.45,9.48,63.75,52.975,10.75,40.675,60.55,52.45,10.2,Adult,Female,1999,6.9,,461700,293900,Midlands Region,England
5.102,17.775,86.58,0.5,4.43,9.8,1.35,21.75,25.975,5.05,11.45,17.475,9.675,3.7,Adult,Female,1999,6,1055,541600,249900,Anglian Region,England
4.149,95.325,72.33,3.68,0.5,3.6,2.23,16.85,23.9,1.83,6.9,15.15,38.65,3.95,Adult,Female,1999,6.24,1030,274800,67500,South West Region,England
4.605,107.4,110.6,9.08,3.3,11.2,5.9,32.25,41.5,3.53,12.125,20.9,38.25,8.78,Juvenile,Female,1999,6.1,1070,289900,83800,South West Region,England
5.403,137.15,66.67,0.5,10.18,35.75,14.3,103.975,126.85,9.88,27.85,68.55,45.125,20.4,Adult,Male,1999,9,1145,380929,123077,South West Region,England
4.474,74.2,67.5,3.3,,19.9,,79.9,113,,,74.5,,26,Adult,Female,1999,6.6,1030,243200,227900,EA Wales,Wales
3.848,80.3,64.5,4.6,,18.5,,36.9,57.1,7.5,,47.6,,13.7,Adult,Male,1999,5.5,1000,,,EA Wales,
4.366,182,1071,281,,25.9,,177,206,29.3,,155,,58.7,Subadult,Female,1999,9,1090,297900,228600,EA Wales,Wales
3.937,215,215,21.2,,25.2,,56,57.2,6.5,,49.3,,15.6,Adult,Female,1999,3.9,960,,,EA Wales,
4.22,198,340,117,,,,13.1,12,,,8,,7.4,Subadult,Female,1999,4.7,980,307900,260400,EA Wales,Wales
5.731,69.5,160,10.9,,27.1,,61.7,137,33,,114,,12.9,Juvenile,Male,1999,10.5,1180,642100,318600,Anglian Region,England
4.113,91.2,17.8,5.8,,,,5.3,,,,3.4,,3.9,Adult,Male,2000,5,980,311000,273000,EA Wales,Wales
4.616,58.6,116,13.2,,,,19.1,,,,17.4,,4.6,Adult,Female,2000,7,1030,320200,219600,EA Wales,Wales
3.44,14.3,10.3,3,,,,4.6,5,,,5.5,,,Adult,Male,2000,5,920,305000,258000,EA Wales,Wales
4.408,199,754,186,,9.5,,23.3,28.3,,,16.7,,,Adult,Male,2000,6.6,1085,317700,319200,Midlands Region,Wales
4.651,17.8,113,11.3,,,,66.1,85,,,65.4,,20.2,Adult,Female,2000,8.5,1080,263400,234300,EA Wales,Wales
5.248,21.6,66,4.3,,,,36.3,59.9,5.4,,33.6,,8.4,Subadult,Female,2000,7,1030,,,EA Wales,
